id,name,state_id,country_id,district_id,status
1,Nicobars,1,1,1,1
2,North and Middle Andaman,1,1,2,1
3,South Andaman,1,1,3,1
4,Anantapur,2,1,4,1
5,Chittoor,2,1,5,1
6,East Godavari,2,1,6,1
7,Guntur,2,1,7,1
8,Krishna,2,1,8,1
9,Kurnool,2,1,9,1
10,Prakasam,2,1,10,1
11,Sri Potti Sriramulu Nellore,2,1,11,1
12,Srikakulam,2,1,12,1
13,Visakhapatnam,2,1,13,1
14,Vizianagaram,2,1,14,1
15,West Godavari,2,1,15,1
16,Y.S.R.,2,1,16,1
17,Anjaw,3,1,17,1
18,Changlang,3,1,18,1
19,Dibang Valley,3,1,19,1
20,East Kameng,3,1,20,1
21,East Siang,3,1,21,1
22,Kra Daadi,3,1,22,1
23,Kurung Kumey,3,1,23,1
24,Lohit,3,1,24,1
25,Lower Dibang Valley,3,1,25,1
26,Lower Siang,3,1,26,1
27,Lower Subansiri,3,1,27,1
28,Namsai,3,1,28,1
29,Papum Pare,3,1,29,1
30,Siang,3,1,30,1
31,Tawang,3,1,31,1
32,Tirap,3,1,32,1
33,Upper Siang,3,1,33,1
34,Upper Subansiri,3,1,34,1
35,West Kameng,3,1,35,1
36,West Siang,3,1,36,1
37,Baksa,4,1,37,1
38,Barpeta,4,1,38,1
39,Biswanath,4,1,39,1
40,Bongaigaon,4,1,40,1
41,Cachar,4,1,41,1
42,Charaideo,4,1,42,1
43,Chirang,4,1,43,1
44,Darrang,4,1,44,1
45,Dhemaji,4,1,45,1
46,Dhubri,4,1,46,1
47,Dibrugarh,4,1,47,1
48,Dima Hasao,4,1,48,1
49,Goalpara,4,1,49,1
50,Golaghat,4,1,50,1
51,Hailakandi,4,1,51,1
52,Hojai,4,1,52,1
53,Jorhat,4,1,53,1
54,Kamrup,4,1,54,1
55,Kamrup Metropolitan,4,1,55,1
56,Karbi Anglong,4,1,56,1
57,Karimganj,4,1,57,1
58,Kokrajhar,4,1,58,1
59,Lakhimpur,4,1,59,1
60,Majuli,4,1,60,1
61,Morigaon,4,1,61,1
62,Nagaon,4,1,62,1
63,Nalbari,4,1,63,1
64,Sivasagar,4,1,64,1
