id,name,state_id,status
1,Nicobars,1,1
2,North and Middle Andaman,1,1
3,South Andaman,1,1
4,Anantapur,2,1
5,Chittoor,2,1
6,East Godavari,2,1
7,Guntur,2,1
8,Krishna,2,1
9,Kurnool,2,1
10,Prakasam,2,1
11,Sri Potti Sriramulu Nellore,2,1
12,Srikakulam,2,1
13,Visakhapatnam,2,1
14,Vizianagaram,2,1
15,West Godavari,2,1
16,Y.S.R.,2,1
17,Anjaw,3,1
18,Changlang,3,1
19,Dibang Valley,3,1
20,East Kameng,3,1
21,East Siang,3,1
22,Kra Daadi,3,1
23,Kurung Kumey,3,1
24,Lohit,3,1
25,Lower Dibang Valley,3,1
26,Lower Siang,3,1
27,Lower Subansiri,3,1
28,Namsai,3,1
29,Papum Pare,3,1
30,Siang,3,1
31,Tawang,3,1
32,Tirap,3,1
33,Upper Siang,3,1
34,Upper Subansiri,3,1
35,West Kameng,3,1
36,West Siang,3,1
37,Baksa,4,1
38,Barpeta,4,1
39,Biswanath,4,1
40,Bongaigaon,4,1
41,Cachar,4,1
42,Charaideo,4,1
43,Chirang,4,1
44,Darrang,4,1
45,Dhemaji,4,1
46,Dhubri,4,1
47,Dibrugarh,4,1
48,Dima Hasao,4,1
49,Goalpara,4,1
50,Golaghat,4,1
51,Hailakandi,4,1
52,Hojai,4,1
53,Jorhat,4,1
54,Kamrup,4,1
55,Kamrup Metropolitan,4,1
56,Karbi Anglong,4,1
57,Karimganj,4,1
58,Kokrajhar,4,1
59,Lakhimpur,4,1
60,Majuli,4,1
61,Morigaon,4,1
62,Nagaon,4,1
63,Nalbari,4,1
64,Sivasagar,4,1
65,Sonitpur,4,1
66,South Salamara-Mankachar,4,1
67,Tinsukia,4,1
68,Udalguri,4,1
69,West Karbi Anglong,4,1
70,Araria,5,1
71,Arwal,5,1
72,Aurangabad,5,1
73,Banka,5,1
74,Begusarai,5,1
75,Bhagalpur,5,1
76,Bhojpur,5,1
77,Buxar,5,1
78,Darbhanga,5,1
79,Gaya,5,1
80,Gopalganj,5,1
81,Jamui,5,1
82,Jehanabad,5,1
83,Kaimur (Bhabua),5,1
84,Katihar,5,1
85,Khagaria,5,1
86,Kishanganj,5,1
87,Lakhisarai,5,1
88,Madhepura,5,1
89,Madhubani,5,1
90,Munger,5,1
91,Muzaffarpur,5,1
92,Nalanda,5,1
93,Nawada,5,1
94,Pashchim Champaran,5,1
95,Patna,5,1
96,Purbi Champaran,5,1
97,Purnia,5,1
98,Rohtas,5,1
99,Saharsa,5,1
100,Samastipur,5,1
101,Saran,5,1
102,Sheikhpura,5,1
103,Sheohar,5,1
104,Sitamarhi,5,1
105,Siwan,5,1
106,Supaul,5,1
107,Vaishali,5,1
108,Chandigarh,6,1
109,Balod,7,1
110,Baloda Bazar,7,1
111,Balrampur,7,1
112,Bastar,7,1
113,Bemetara,7,1
114,Bijapur,7,1
115,Bilaspur,7,1
116,Dakshin Bastar Dantewada,7,1
117,Dhamtari,7,1
118,Durg,7,1
119,Gariyaband,7,1
120,Janjgir - Champa,7,1
121,Jashpur,7,1
122,Kabeerdham,7,1
123,Kondagaon,7,1
124,Korba,7,1
125,Koriya,7,1
126,Mahasamund,7,1
127,Mungeli,7,1
128,Narayanpur,7,1
129,Raigarh,7,1
130,Raipur,7,1
131,Rajnandgaon,7,1
132,Sukma,7,1
133,Surajpur,7,1
134,Surguja,7,1
135,Uttar Bastar Kanker,7,1
136,Dadra and Nagar Haveli,8,1
137,Daman,9,1
138,Diu,9,1
139,North Goa,10,1
140,South Goa,10,1
141,Ahmadabad,11,1
142,Amreli,11,1
143,Anand,11,1
144,Arvalli,11,1
145,Banas Kantha,11,1
146,Bharuch,11,1
147,Bhavnagar,11,1
148,Botad,11,1
149,Chhota Udepur,11,1
150,Devbhoomi Dwarka,11,1
151,Dohad,11,1
152,Gandhinagar,11,1
153,Gir Somnath,11,1
154,Jamnagar,11,1
155,Junagadh,11,1
156,Kachchh,11,1
157,Kheda,11,1
158,Mahesana,11,1
159,Mahisagar,11,1
160,Morbi,11,1
161,Narmada,11,1
162,Navsari,11,1
163,Panch Mahals,11,1
164,Patan,11,1
165,Porbandar,11,1
166,Rajkot,11,1
167,Sabar Kantha,11,1
168,Surat,11,1
169,Surendranagar,11,1
170,Tapi,11,1
171,The Dangs,11,1
172,Vadodara,11,1
173,Valsad,11,1
174,Ambala,12,1
175,Bhiwani,12,1
176,Charkhi Dadri,12,1
177,Faridabad,12,1
178,Fatehabad,12,1
179,Gurgaon,12,1
180,Hisar,12,1
181,Jhajjar,12,1
182,Jind,12,1
183,Kaithal,12,1
184,Karnal,12,1
185,Kurukshetra,12,1
186,Mahendragarh,12,1
187,Mewat,12,1
188,Palwal,12,1
189,Panchkula,12,1
190,Panipat,12,1
191,Rewari,12,1
192,Rohtak,12,1
193,Sirsa,12,1
194,Sonipat,12,1
195,Yamunanagar,12,1
196,Bilaspur,13,1
197,Chamba,13,1
198,Hamirpur,13,1
199,Kangra,13,1
200,Kinnaur,13,1
201,Kullu,13,1
202,Lahul Spiti,13,1
203,Mandi,13,1
204,Shimla,13,1
205,Sirmaur,13,1
206,Solan,13,1
207,Una,13,1
208,Anantnag,14,1
209,Badgam,14,1
210,Bandipore,14,1
211,Baramula,14,1
212,Doda,14,1
213,Ganderbal,14,1
214,Jammu,14,1
215,Kargil,14,1
216,Kathua,14,1
217,Kishtwar,14,1
218,Kulgam,14,1
219,Kupwara,14,1
220,Leh(Ladakh),14,1
221,Pulwama,14,1
222,Punch,14,1
223,Rajouri,14,1
224,Ramban,14,1
225,Reasi,14,1
226,Samba,14,1
227,Shupiyan,14,1
228,Srinagar,14,1
229,Udhampur,14,1
230,Bokaro,15,1
231,Chatra,15,1
232,Deoghar,15,1
233,Dhanbad,15,1
234,Dumka,15,1
235,Garhwa,15,1
236,Giridih,15,1
237,Godda,15,1
238,Gumla,15,1
239,Hazaribagh,15,1
240,Jamtara,15,1
241,Khunti,15,1
242,Kodarma,15,1
243,Latehar,15,1
244,Lohardaga,15,1
245,Pakur,15,1
246,Palamu,15,1
247,Pashchimi Singhbhum,15,1
248,Purbi Singhbhum,15,1
249,Ramgarh,15,1
250,Ranchi,15,1
251,Sahibganj,15,1
252,Saraikela-Kharsawan,15,1
253,Simdega,15,1
254,Bagalkot,16,1
255,Bangalore,16,1
256,Bangalore Rural,16,1
257,Belgaum,16,1
258,Bellary,16,1
259,Bidar,16,1
260,Bijapur,16,1
261,Chamarajanagar,16,1
262,Chikkaballapura,16,1
263,Chikmagalur,16,1
264,Chitradurga,16,1
265,Dakshina Kannada,16,1
266,Davanagere,16,1
267,Dharwad,16,1
268,Gadag,16,1
269,Gulbarga,16,1
270,Hassan,16,1
271,Haveri,16,1
272,Kodagu,16,1
273,Kolar,16,1
274,Koppal,16,1
275,Mandya,16,1
276,Mysore,16,1
277,Raichur,16,1
278,Ramanagara,16,1
279,Shimoga,16,1
280,Tumkur,16,1
281,Udupi,16,1
282,Uttara Kannada,16,1
283,Yadgir,16,1
284,Alappuzha,17,1
285,Ernakulam,17,1
286,Idukki,17,1
287,Kannur,17,1
288,Kasaragod,17,1
289,Kollam,17,1
290,Kottayam,17,1
291,Kozhikode,17,1
292,Malappuram,17,1
293,Palakkad,17,1
294,Pathanamthitta,17,1
295,Thiruvananthapuram,17,1
296,Thrissur,17,1
297,Wayanad,17,1
298,Lakshadweep,18,1
299,Agar Malwa,19,1
300,Alirajpur,19,1
301,Anuppur,19,1
302,Ashoknagar,19,1
303,Balaghat,19,1
304,Barwani,19,1
305,Betul,19,1
306,Bhind,19,1
307,Bhopal,19,1
308,Burhanpur,19,1
309,Chhatarpur,19,1
310,Chhindwara,19,1
311,Damoh,19,1
312,Datia,19,1
313,Dewas,19,1
314,Dhar,19,1
315,Dindori,19,1
316,Guna,19,1
317,Gwalior,19,1
318,Harda,19,1
319,Hoshangabad,19,1
320,Indore,19,1
321,Jabalpur,19,1
322,Jhabua,19,1
323,Katni,19,1
324,Khandwa (East Nimar),19,1
325,Khargone (West Nimar),19,1
326,Mandla,19,1
327,Mandsaur,19,1
328,Morena,19,1
329,Narsimhapur,19,1
330,Neemuch,19,1
331,Panna,19,1
332,Raisen,19,1
333,Rajgarh,19,1
334,Ratlam,19,1
335,Rewa,19,1
336,Sagar,19,1
337,Satna,19,1
338,Sehore,19,1
339,Seoni,19,1
340,Shahdol,19,1
341,Shajapur,19,1
342,Sheopur,19,1
343,Shivpuri,19,1
344,Sidhi,19,1
345,Singrauli,19,1
346,Tikamgarh,19,1
347,Ujjain,19,1
348,Umaria,19,1
349,Vidisha,19,1
350,Ahmadnagar,20,1
351,Akola,20,1
352,Amravati,20,1
353,Aurangabad,20,1
354,Bhandara,20,1
355,Bid,20,1
356,Buldana,20,1
357,Chandrapur,20,1
358,Dhule,20,1
359,Gadchiroli,20,1
360,Gondiya,20,1
361,Hingoli,20,1
362,Jalgaon,20,1
363,Jalna,20,1
364,Kolhapur,20,1
365,Latur,20,1
366,Mumbai,20,1
367,Mumbai Suburban,20,1
368,Nagpur,20,1
369,Nanded,20,1
370,Nandurbar,20,1
371,Nashik,20,1
372,Osmanabad,20,1
373,Palghar,20,1
374,Parbhani,20,1
375,Pune,20,1
376,Raigarh,20,1
377,Ratnagiri,20,1
378,Sangli,20,1
379,Satara,20,1
380,Sindhudurg,20,1
381,Solapur,20,1
382,Thane,20,1
383,Wardha,20,1
384,Washim,20,1
385,Yavatmal,20,1
386,Bishnupur,21,1
387,Chandel,21,1
388,Churachandpur,21,1
389,Imphal East,21,1
390,Imphal West,21,1
391,Jiribam,21,1
392,Kakching,21,1
393,Kamjong,21,1
394,Kangpokpi,21,1
395,Noney,21,1
396,Pherzawl,21,1
397,Senapati,21,1
398,Tamenglong,21,1
399,Tengnoupal,21,1
400,Thoubal,21,1
401,Ukhrul,21,1
402,East Garo Hills,22,1
403,East Jaintia Hills,22,1
